,index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_txt,age,python,R,Spark,AWS,Excel,SQL,machine_learning,AI,Seniority,Title
100,100,Data Analyst,$48K-$89K (Glassdoor est.),"Job Summary Our large financial client in Charlotte, NC is looking for a HadoopData Analyst. This job consists of finding data issues, communicating with business partners, analyzing data issues, what causes it, fixing and testing. Responsibilities Candidate will work directly with line of business stakeholders to define scenario requirements work in a cross-functional environment, as part of an agile team and will require an understanding of both business and technical processes. Gather requirements and create clear documentation of Functional, and Non-Functional Business Requirements Requirements Experience with Hadoop, Spark, Scala, HQL Experience in data analysis Immediate level with SQL querying About Matlen Silver Matlen Silver is the hardest working staffing team in the U.S. We do what we know is right for consultants and companies, creating a unique and powerful recruiting and talent experience. When the rubber meets the road, Matlen Silver is the powerhouse that cuts through the nonsense and gets you the job you want and deserve. If you are a rock star go-getter with a proven track record of success, put us to the test!",3.2,"Matlen Silver
3.2","Charlotte, NC","Bridgewater, NJ",201 to 500 employees,1980,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,48,89,68.5,Matlen Silver,40,0,0,1,0,0,0,0,0,na,data analyst
101,101,Supply Chain Master Data Analyst,$48K-$89K (Glassdoor est.),"Level to be determined based on qualifications relevant to the role.
Summary
Support daily Master Data Management (MDM) activities required for the successful planning and management of the supply chain. Represent MDM specific requirements as a subject matter expert (SME) in projects. Work closely with other functions and departments to understand, improve, and standardize MDM related processes ensuring effective, scalable supply chain planning and operations. Strive for continuous improvement, identify waste, be comfortable with change. Support transformative projects involving multiple departments.

Responsibilities
• Initiate Item Master requests for new items
• Perform data entry and configuration of items, system locations, recipes, and routings
• Perform data update for item conversions, item sourcing rules (produced and purchased)
• Analyze and approve changes to master data objects and attributes
• Document current state processes assist in putting together a future state design
• Support efforts to improve MDM business processes through continuous improvement
• Understand and document business requirements for potential system solutions
• Assist the team with testing, system validation and change control
• Support drafting, review and approval of project documents
• Support end-user training and cutover activities
• Design and develop tools and repeatable processes to collect and analyze data
• Support business operations by providing data extracts, reports and analyses
• Generate reports on team Key Performance Indicators (KPIs)
• Assists with regular meetings, goal setting, metrics and reporting
• Promotes the achievement of corporate goals and objectives.
• Embraces and promotes the IOPS culture of The Regeneron Way.
• Other duties as assigned.

Knowledge, Skills, and Abilities

• Ability to interpret complex data and communicate recommendations

• Proficiency in verbal and written communication, technical writing experience preferred

• Experience using Oracle OPM highly preferred

• Experience working in a team preferred

• Experience with Microsoft Excel, PowerPoint, Visio, SharePoint preferred

• Experience with QlikView / QlikSense preferred

• Expeience working in a Good Manafacturing Pracices (GMP) environment preferred
Education and Experience
• Associate Analyst- BA/ BS and 0-2 years of relevant experience
• Analyst- BA/BS and 3-5 years of relevant experience
• Sr. Analyst- BA/BS and 5+ years of relevant experience
• MBA or relevant masters degree preferred

Does this sound like you? Apply now to take your first steps toward living the Regeneron Way! We have an inclusive and diverse culture that provides amazing benefits including health and wellness programs, fitness centers and stock for employees at all levels!

Regeneron is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion or belief (or lack thereof), sex, nationality, national or ethnic origin, civil status, age, citizenship status, membership of the Traveler community, sexual orientation, disability, genetic information, familial status, marital or registered civil partnership status, pregnancy or maternity status, gender identity, gender reassignment, military or veteran status, or any other protected characteristic in accordance with applicable laws and regulations. We will ensure that individuals with disabilities are provided reasonable accommodations to participate in the job application process. Please contact us to discuss any accommodations you think you may need.

-",3.9,"Regeneron
3.9","Rensselaer, NY","Tarrytown, NY",5001 to 10000 employees,1988,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 billion (USD),"Genentech, Vertex Pharmaceuticals, Celgene",48,89,68.5,Regeneron,32,0,0,0,1,1,0,0,0,na,data analyst
102,102,"Data Analyst, Client Reporting",$48K-$89K (Glassdoor est.),"Zwicker & Associates PC is a national law firm that represents credit grantors within the financial services industry. The firm is experienced in Bankruptcy, Commercial Collections, Consumer Collections, and Litigation. Growing strong since 1991, Zwicker is headquartered in Andover, Massachusetts and maintains office locations throughout the United States.
We are looking for a Data Analyst for our Client Reporting Team in our Andover, MA location.

Our Client Reporting Team is responsible for the content within the data transmitted to and from our clients. We work closely with the IT programming team to implement new procedures, change existing procedures and to ensure all data is transmitted accurately and timely.
We are currently seeking a detail-oriented individual to assist with the auditing of existing processes, ensuring compliance with Client Reporting requirements, as well as assisting with the implementation of onboarding new clients and updating existing procedures.

Intermediate to Advanced Excel experience
Microsoft Access (or other Database software)
Excellent Written and Verbal skills
Remarkable problem solving skills
Ability to manage and prioritize multiple tasks on a daily basis
Ability to meet strict deadlines, while working with, and at times relying on, other Departments assistance to complete the task
Additional, preferred qualifications:
AS400 experience
SQL knowledge
Familiarity with XML and/or JSON programming (ability to understand and review XML files, there will not be any programming done within this position)
Physical qualifications:
Be able to sit 90% of the work day at times
Be able to bend at the waist and be mobile when needed
Be able to read and comprehend position-specific documents and correspondence
Be able to communicate in a common language with (or to) individuals or groups verbally and/ or in writing.
Be able to travel occasionally when needed by the most efficient means of transportation
Be able to operate a computer, phone and/or equivalent devices
Be able to complete a minimum of a 40 hour flexible workweek schedule
Be able to life 5 pounds or more
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this position. Duties, responsibilities and activities may change at any time with or without notice.
Zwicker & Associates, P.C. is committed to providing equal employment opportunities to qualified individuals with disabilities. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position. If you wish to seek an accommodation regarding the requirements of this position, please inform Human Resources Management.
This is a full time, full benefit position. Benefit package includes medical, vision, and dental insurance, long term disability insurance, life insurance, compensated time off including paid holidays, and 401K with match.
No Phone Calls, No Agencies, EOE, Drug free workplace.
Please review our Applicant Privacy Notice:
http://www.zwickerpc.com/job-applicant-privacy-notice/",3.9,"Zwicker & Associates, P.C.
3.9","Andover, MA","Andover, MA",Unknown,1991,Company - Private,Legal,Accounting & Legal,Unknown / Non-Applicable,-1,48,89,68.5,"Zwicker & Associates, P.C.",29,0,0,0,0,1,0,0,0,na,data analyst
103,103,Sr. Data Quality Analyst,$48K-$89K (Glassdoor est.),"About the Role:

We are looking for a detail oriented and data-driven analyst who will serve as the primary owner for ensuring premium data quality. App Annie is the gold standard for mobile app market data leveraging a variety of datasources, machine learning, artificial intelligence, and data science to create market estimates for mobile apps and publishers. This role is critical in helping to orchestrate a world class experience that maintains and grows the credibility and trust thousands of customers have placed in App Annie as the premier global platform. Responsibilities include but are not limited to the following:
Deep understanding of the mobile, analytics, and market data ecosystem
Proactively coordinating discussions with customers to get critical feedback on data quality
Being the customer advocate in cross-functional product & engineering meetings and proposing data priorities that benefit customers
Serving as the primary internal data liaison between Sales, Customer Success, Product, Engineering, Data Science, and Support to create strong cross functional communication and collaboration
Diagnosing gaps and inconsistencies in the representation of data estimates and helping to plan priorities based on business requirements and implementation schedules
Understanding and articulating customer challenges and participating in the prioritization process of new enhancements and methodologies
Helping to build alerts and triggers for future data quality issues to help ensure premium data quality experience for customers
Leading all App Annie data quality issues across all datasets including recommendations of best practices
Collaboration with the Data Engineering to ensure timely and quality delivery of our data estimates
Building the daily quality pipeline, creating reporting to automatically monitor for regressions and coordinate with instrumentation leads to surface and escalate data quality concerns
In this role, we are looking to find someone passionate about the fidelity, representation, and visualization of data who will build an integrity framework, develop automated triggers and ultimately increase data quality. This role will report to the VP of Support.

What you should have
Experience with data quality capabilities
Strong understanding of SQL, Looker, Tableau or other database systems
3+ years in data analytics/management
Analytical skills, working with large data sets to solve business problems, and providing practical business solutions
Proficient in Python, experience in Pandas and Sklearn is a big plus
Excellent verbal and written communication skills, with high attention to detail
Strong project management experience
Advanced proficiency in G Suite
Major in Math or Computer Science
Bonus Points
Familiarity with software release processes and related tooling (like Github)
What do we offer?
Competitive compensation.
All the tech tools you need to succeed: a new smartphone and Mac laptop.
A 401K plan to help you plan for your future.
Great health, dental and vision insurance packages to fit your needs to ensure you're happy and healthy.
A yearly fitness stipend that will keep you up and moving.
Commuter benefits that make getting to work a breeze.
Employee referral bonuses so you'll get the opportunity to work with friends (and get some extra cash in your pocket!).
About App Annie

App Annie delivers the most trusted app market data and insights for your business to succeed in the global app economy. Over 1 million registered members rely on App Annie to better understand the app market, their businesses and the opportunities around them. The company is headquartered in San Francisco with 450 employees across 12 global offices. App Annie has received $157 million in financing, including from investors such as Sequoia Capital, Institutional Venture Partners, IDG Capital Partners, e.ventures, Greenspring Associates, and Greycroft Partners.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Yes, I want this job!",3.6,"App Annie
3.6","San Francisco, CA","San Francisco, CA",201 to 500 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,48,89,68.5,App Annie,10,1,0,0,0,1,0,1,0,senior,data analyst
104,104,Health Data Analyst,$48K-$89K (Glassdoor est.),"Tuesday, December 10, 2019

JOB SUMMARY:

Extract and analyze health care data for specific studies
and corporate initiatives, assisting with data intensive projects. Serve as a technical resource to department
staff and management. Work with
management of operational areas to assist them in accumulating data to meet
their needs. Provide advice to management
regarding effective techniques to analyze and report on data to display the
most effective result.

ESSENTIAL JOB
FUNCTIONS:
Perform routine to moderately complex analysis and design
for various business applications.
Create reports and spreadsheets displaying data in a logical
and concise manner.
Develop procedures to enhance reporting and query
capabilities to improve efficiency and accuracy.
Maintain documentation of business specifications pertinent
to the business requirements.
Provide fundamental analytical support to the organization
by developing and promoting consistent analytical methodologies.
Design and model data extractions and provide comprehensive
assessments of trends and data.
Participate in department initiatives and projects.
Perform other duties as assigned.
QUALIFICATIONS:

Minimum Education and Experience:
Bachelor’s degree in Computer Science, Mathematics,
Economics or related field; or an equivalent combination of education and
experience
Three to five years
of health data analysis, business analysis, software application, database
design, and technical documentation experience
Preferred Education, Additional Qualifications and
Experience:
Knowledge of applied statistics
Knowledge of econometric modeling
HIAA certification
Experience in the health insurance industry
Required Knowledge, Skills, and/or Abilities:
Advanced analytical skills, with the ability to interpret
and synthesize complex data sets
Understanding of SAS programming, spreadsheet, and database
software and other application development tools
Good business acumen and political savvy
Knowledge of business process improvement techniques and
strategies
Excellent verbal and written communications skills
Negotiation skills
Presentation skills
Decision-making skills
Good problem solving skills
Ability to interface with employees at all levels
Ability to effectively navigate ambiguous situations with
limited direction
Excellent organizational skills and ability to successfully
prioritize multiple tasks
Ability to handle multiple priorities/projects

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.
The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf to view the ""EEO is the Law"" poster.

Other details
Pay Type
Salary",3.6,"Blue Cross & Blue Shield of Rhode Island
3.6","Providence, RI","Providence, RI",501 to 1000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,UnitedHealth Group,48,89,68.5,Blue Cross & Blue Shield of Rhode Island,81,0,0,0,1,1,0,0,0,na,data analyst
105,105,Senior Data Analyst (Corporate Audit),$48K-$89K (Glassdoor est.),"Position:
Senior Data Analyst (Corporate Audit)
Job Description:


What Youll Be Doing:
Determine optimal utilization of applications and tools to develop and analyze audit testing / business risks.
Organize, create and analyze large-scale data sets.
Perform data analyses and question existing assumptions and processes.
Partner with cross-functional leaders to generate ideas/hypotheses/opportunities to drive business value through applied analytics and data visualization.
Interpret business needs and stakeholder requests into clearly defined requirements, functional specifications, user stories, and value statements.
Prepare and present findings and formal proposals to leadership and other key decision makers.
Ensure project and support efforts meet service level expectations of business stakeholders and drive quality through best practice, standards, and process observation.
Experience with analytics technology and various databases is required and may include Tableau, PowerBI, Alteryx, RPA technologies, SQL Server, and/or Oracle.
Participate in internal audits of selected areas within the organization, to include: determine data analysis needs during audit planning, completing task assignments within allotted timelines, provide audit analysis conclusions for areas of responsibility and participating in stakeholder meetings with local management.
Collaborate with Audit team members to plan the engagement and develop audit programs, timelines, budgets, risk assessments and other planning documents from a data analysis perspective.
Document work performed in work papers and report observations/findings.
Communicate your recommendations to both audit team and business / IT leaders.
Conducts hypothesis testing, extracts business insights and delivers outcome.
Mentors junior team members and acts as project team lead.
Identify and leverage best practice opportunities.
Integrate and work with various Audit teams to support overall Corporate Audit objectives and initiatives.
Solve complex problems; takes a new perspective using existing solutions.
Works independently; receives minimal guidance.
Acts as a resource for colleagues with less experience.
Contributes to process improvements.
What Were Looking For:
5+ years of Data Analytics with a 4 year Bachelors degree in Information Systems, IT, Business or related field of study
Knowledge of and direct experience with standardized reporting packages (e.g. PowerBI, Tableau, Alteryx, etc.), and databases (Oracle, SQL Server, etc.)
SQL proficiency with experience in constructing/deconstructing complex reports and queries
Strong communication skills (written and verbal) with the ability to articulate complex concepts to diverse audiences
An analytical mindset with problem solving ability and experience with data modeling
Even Better if You Have:
Internal/external audit experience
Understanding of data mining and process mining
Direct experience with implementing Robotic Process Automation (RPA)
Background in statistics
What We Offer at Arrow:

At Arrow, we are driving innovation and choice by offering employees a variety of benefits designed to keep you and your family physically and financially healthy.

Not only do we offer a competitive salary and work-life balance, we offer benefits to match your needs:
Medical, Dental, Vision Insurance
401k, With Matching Contributions
Paid Time Off
Health Savings Account (HSA)/Health Reimbursement Account (HRA) Options
Growth Opportunities
Short-Term/Long-Term Disability Insurance
Discounted RTD Passes, with convenient office location off RTD Light Rail (Dry Creek Exit)
On-site Café with Catering Option for Busy Lifestyles
24/7/365 On-site Gym and Lockers, Free for Use to All Employees!
Free covered parking, included bicycle and motorcycle parking
And more!
Not ready to apply just yet? Join our Talent Community!

Arrow is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, gender, sexual orientation, gender identity, national origin, veteran or disability status. (Arrow EEO/AAP policy)

Location:
US-CO-Denver, Colorado (E Dry Creek Rd)
Time Type:
Full time
Job Category:
Accounting/Finance",3.0,"Arrow Electronics
3.0","Centennial, CO","Centennial, CO",10000+ employees,1935,Company - Public,Wholesale,Business Services,$10+ billion (USD),"Avnet, Ingram Micro, Tech Data",48,89,68.5,Arrow Electronics,85,0,0,0,0,0,0,0,0,senior,data analyst
106,106,Data Analyst,$48K-$89K (Glassdoor est.),"Data Analyst
Project: The Data Analyst will be part of the Edge Cyber Device Security program which is a 5-6 year project with over $200 million in funding. The program is responsible for risk reduction and development of cyber security controls and guardrails to support devices within Clinical Technology, Pharmacy, Facility Operations, Medical Devices, Security, Research, Optical and Internet of Things (IoT) business organizations.

Essential Functions:
Independently determines and implements appropriate measurement and analytical methods to achieve specified analytical project or tasks objectives.
Exercises independent professional judgment regarding analysis assumptions and data quality. Identifies and resolves data quality issues, as required.
Coordinates the work of other project team members (UCDA staff, regional analytic staff, and contractors) to accomplish specified analytical project or task objectives.
Determines the most informative approaches to summarizing data and communicating analytical results. Develops, as required, innovative or customized templates and formats.
Implements specified quality assurance procedures to ensure accuracy of project data, results, written reports, and presentation materials.
Designs and creates written reports and presentation materials describing project objectives, methods, data, and results.
Given project or task data requirements, determines the most efficient approach to data collection and validation and works independently to obtain needed data from KP HealthConnect information systems (e.g. Clarity).
Additional Requirements:
Ability to effectively communicate complex technical concepts, both verbally and in writing.
Skills in analytical methods including problem and model formulation, algorithm selection, and development of overall solution strategy.
Creativity, critical thinking, and excellent problem-solving skills.

Preferred Qualifications:
Experience writing, debugging and documenting complex queries against relational databases.
Experience performing exploratory data analysis and model development and evaluation using R, SAS, SPSS, Stata or some other data analysis package.
Previous work experience in the healthcare industry, especially healthcare analytics or health services research.
Familiarity with Healthcare healthcare system.
Experience with using SQL tools",-1.0,IT Avalon,"Oakland, CA","Brentwood, CA",51 to 200 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,48,89,68.5,IT Avalon,-1,0,0,0,0,1,0,0,0,na,data analyst
107,107,Data Analyst,$48K-$89K (Glassdoor est.),"Job Description
Data Analyst

Company Description:

Geo-Instruments, Inc provides geotechnical and structural monitoring services. We manufacture, supply, install, and integrate geotechnical and structural sensors, along with geomatic systems. We automate the collection, processing, visualization and delivery of data.

Job Description:

We are currently looking for data analysts to support in the automation, integration, and maintenance of our data collection and data visualization software platforms.

Responsibilities:
Configurating the automated collection of data from our deployed monitoring devices.
Validating the accuracy of the data being collected.
Writing and implementing scripts for data processing and data parsing.
Setting up our customer facing web platform for data visualization.
Performing daily system checks and maintaining system functionality.
Providing customer support and troubleshooting.
Experience and Skills:
Positions are available for both entry level and experienced data analysts with a strong background in math, analytics, statistics, and programming.
Excellent written and verbal communication.
Proficiency with MS Word, Excel, Outlook.
Familiar with SQL, Python, or R.
Ability to analyze and troubleshoot information.
Ability to multi-task in a fast-paced environment.
Ability to meet strict deadlines.
Excellent organizational skills.
Experience in Instrumentation systems, remote measurements, electromechanical systems, robotics, and basic techniques is a plus.
Experience in geotechnical instrumentation, vibration monitoring or construction experience is a bonus.
Salary:

Commensurate with experience

Applications:

Send your resume to carreers@geo-instruments.com",4.0,"Geo-Instruments
4.0","Narragansett, RI","Narragansett, RI",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,48,89,68.5,Geo-Instruments,-1,1,0,0,0,1,0,0,0,na,data analyst
108,108,Data Analyst,$48K-$89K (Glassdoor est.),"BTree Solutions Inc is currently seeking a Data Analyst to join their team in Herndon, VA!

About:

We help customers achieve BTree Solutions benefit from their technology spend. We help customers design, build, and manage intelligent, flexible, and secure information technology environments. By bringing systems, software, services, and solutions together, we can work with you to put a comprehensive IT solution to work for your business.

Our BTree Solutions consultants possess a wide variety of knowledge and skills. And, when combined with their functional and industry experience, BTree Solutions is uniquely positioned to serve the complex environments and implementation needs of our clients. Our delivery model includes on-site, off -site, off -shore and hybrid delivery solutions.

Responsibilities:
Managing our master data set, developing reports, and troubleshooting data issues.
Managing master data, including creation, updates, and deletion.
Managing users and user roles.
Provide quality assurance of imported data, working with quality assurance analyst if necessary.
Commissioning and decommissioning of data sets.
Processing confidential data and information according to guidelines.
Helping develop reports and analysis.
Managing and designing the reporting environment, including data sources, security, and metadata.
Supporting the data warehouse in identifying and revising reporting requirements.
Supporting initiatives for data integrity and normalization.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end users on new reports and dashboards.
Providing technical expertise on data storage structures, data mining, and data cleansing.
Requirements:
5 + years experience with Alteryx (Top Skill),Oracle, SQL, Pl/SQL, Python, Tableau (Required)
5 + years of experience with mortgage companies (Required)
5+ years of experience as a data analyst (Required)
Deep understanding of the popular data analysis tools and databases
To do well in this role you need a very fine eye for detail
__
*

Indeed Hire and BTree Solutions Inc are working together to find the best candidate for this job.

By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Schedule:
8 Hour Shift
Experience:
data analyst: 5 years (Required)
mortgage companies: 5 years (Required)
popular data analysis tools and databases: 1 year (Preferred)
Alteryx (Top Skill),Oracle, SQL, Pl/SQL, Python, Tableau: 5 years (Required)
Job distance:
Herndon, VA: Between 31 and 40 miles (Preferred)
Work Remotely:
Temporarily due to COVID-19",4.5,"BTree Solutions Inc
4.5","Herndon, VA","Herndon, VA",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,48,89,68.5,BTree Solutions Inc,-1,1,0,0,0,0,0,0,0,na,data analyst
109,109,Data Analyst,$48K-$89K (Glassdoor est.),"Job Title Data Analyst Location San Jose ,CA Duration Full Time Key Responsibilities bull Define, measure and track key metrics to guide execution across multiple teams in the org bull Build dashboards and reports for teams and business leaders and stakeholders to promote transparency and enable smart decisions bull Build qualitative and quantitative models to deepen understanding of platform operational performance, and predict potential delivery risks bull Leverage analytics to drive process improvement bull Communicate in clear and concise manner for actionable changes focused on improving velocity, predictability, and efficiency Qualifications bull 7+ yearsrsquo experience in data analysis within tech industry bull Technical expertise in data modeling, system and data base design development, and data mining techniques bull Proficient in writing SQL queries on SQL Server, MySQL , Oracle. Thanks , Jani Pasha Shaik 925-361-2617",4.4,"MatchPoint Solutions
4.4",United States,"Dublin, CA",201 to 500 employees,2007,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,48,89,68.5,MatchPoint Solutions,13,0,0,0,0,0,0,0,0,na,data analyst
110,110,Lead HR & Data Governance Analyst,$48K-$89K (Glassdoor est.),"About CenturyLink

CenturyLink (NYSE: CTL) is the second largest U.S. communications provider to global enterprise customers. With customers in more than 60 countries and an intense focus on the customer experience, CenturyLink strives to be the worlds best networking company by solving customers increased demand for reliable and secure connections. The company also serves as its customers trusted partner, helping them manage increased network and IT complexity and providing managed network and cyber security solutions that help protect their business.
Job Summary
The HR Analytics, Lead HR & Data Governance Analyst has responsibility for analysis, data, non- standard reporting, and metrics within a designated business group at CenturyLink. This role will also lead the HR Data Governance efforts and will have responsibility to develop and manage a data governance framework for HR data policies, standards and practices.
Qualifications
Main Responsibilities - Data Analyst Perspective
Serve as the primary consultant for internal clients to identify, support, design and perform statistical analyses and make recommendations on complex business issues in partnership with functional leadership.
Work with stakeholders to understand business objectives to provide data insights to best support data-driven business decisions helping to maximize our investment in people.
Use technology, analytical tools and models to develop and analyze cross-functional data as needed. Process large amounts of data using software and statistical tools.
Continuously learn new tools and ways to mine and visualize data. Design audience-specific presentations with consideration of visualization principles to share data in an intuitive manner.
Present methodology and conclusions of analyses to a variety of recipients including peers, management, and senior executive teams. Take the results of analyses and tell a story with the data to guide leaders in business decisions with the ability to explain details and high-level overviews depending on the audience.
Partner with the Reporting Organization to design, develop, and generate non-standard reports, scorecards and dashboards. Analyze the data to ensure accuracy and that the content meets business needs and requirements.
Access current reporting capabilities and make recommendations for improvement. Recommend and participate in the implementation of new reporting systems and assessment of new tecnology tools.
Main Responsibilities - Data Governance Perspective
Develop, implement and ensure adherence to an HR data governance framework for data policies, standards and practices to achieve the required level of consistency, quality and protection to meet overall business needs
Define roles and responsibilities across the organization related to data governance, clear accountability for stewardship and adoption requirements across HR
Partner with Data Analysts, Data Scientists and HRIS to understand data needed to support key metrics and ensure we have the right tools and processes to deliver the data
Create and maintain common data dictionaries and the tools or methods that support data standards for HR
Define indicators of performance and quality metrics and ensure compliance with data related policies, standards, and roles and responsibilities
Establish Data Quality program including methods for monitoring, reporting and issue remediation
Provide subject matter expertise within data governance working groups across the company
Utilize project management skills and indirect leadership skills to facilitate data standards projects
Qualifications
Master’s Degree in Computer Science, Statistics, Mathematics, Human Resources, Business or related field highly preferred
A strong foundation in using statistical and data visualization tools
Advanced experience with Microsoft Access, PowerPoint, and Excel
Knowledge of industry leading data quality and data protection management practices
Knowledge of data architecture and data related technology solutions
Experience developing and managing Data governance programs
Strong analytical execution with thoroughness, accuracy, and focus on data integrity
Strong database management skills including the ability to merge, clean and analyze large amounts of data
Strong cross-functional project management skills
Excellent executive presentation skills: ability to extract, analyze and present actionable information
Identify risks and opportunities, brainstorm innovative solutions, and drive actions to quick resolution
Think strategically, persuade stakeholders, and execute methodically and autonomously
Strong relationship building skills with internal/external partners
Experience working at a large, matrixed organization is highly preferred
Ability to multitask and manage competing priorities
6+ years related experience with Bachelors
4+ years related experience with Masters

Alternate Location: US-Colorado-Broomfield; US-Louisiana-Monroe

Requisition #: 224978

This job may require successful completion of an online assessment. A brief description of the assessments can be viewed on our website at http://find.centurylink.jobs/testguides/

EEO Statement

We are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, gender identity, marital status, family status, pregnancy, or other legally protected status (collectively, protected statuses). We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training.

Disclaimer

The above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job. Job duties and responsibilities are subject to change based on changing business needs and conditions.",3.0,"CenturyLink
3.0","Broomfield, CO","Monroe, LA",10000+ employees,1930,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),"AT&T, Verizon",48,89,68.5,CenturyLink,90,0,0,0,0,1,0,0,0,senior,data analyst
111,111,Data Analyst,$48K-$89K (Glassdoor est.),"Position Number: 341506

Location: Boston, MA 02210

Position Type: Temp to Hire

Required Skill Set:
Data Visualization, JIRA, Tableau

Position Description:
*C2C is not available**
*Only U.S. Citizens and those authorized to work in the U.S. can be considered as W2 candidates.**
Data Analyst
Contract: 6+ months (Potential to Perm)
Location: Springfield, MA OR Boston, MA 02210

Duties:
POSITION SUMMARY:
Responsible for executing data analysis and governance functions and programs. This includes anticipating and defining business needs and developing actionable recommendations. Work with IT organizations and other business functions to coordinate activities. Using analytics and reporting tools, deliver data and recommendations to a wide variety of internal and external customers. As part of delivery, incumbents are responsible for exploring data, determining the value and meaning of data content, integrating multiple sources of information and presenting compelling findings and conclusions. Incumbents are expected to deliver through multiple vehicles, including reports, extracts, dashboards, and other appropriate tools.
Description:
• Develop reporting/dashboards reflecting campaign results for all channels within assigned projects. Work with staff and vendors to maximize marketing effectiveness within established profitability thresholds.
• Identify industry best practices in reporting, attribution and consumer matching and work to integrate them into analytics.
• Support analytic projects for team, interfacing with the data science, advanced analytic and IT teams when appropriate.
• Oversee continuous review of process improvements in, quality control, database analysis, etc.
• Identify automation opportunities within processing to generate time/ROI efficiencies.
• Build knowledgebase of data sources across the enterprise and data dictionaries
• Privacy and Governance experience is a plus

requirements:
• 5+ years of strategic experience in data visualization, analytics and reporting
• Advanced Vertica, Tableau, Alteryx, SQL, MS Excel, MS Teams and JIRA software skills are required.
• Strategic thinker with experience leading department-wide projects
• Good quantitative skills – able to extrapolate information and apply to other areas
• Knowledge of statistical techniques, such as predictive models and significance, and how/when to apply them.
• Able to review large sets of data and evaluate for consistency and accuracy
• Able to understand and influence tactical details, while identifying and communicating items of primary importance
• Ability to formalize and standardize process flows and quality control procedures
• Strong organizational skills and attention to detail
• Self-motivated and flexible, able to manage multiple priorities at once
Education: Bachelor's Degree Preferred",4.5,"Rose International
4.5","Boston, MA","Chesterfield, MO",1001 to 5000 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,48,89,68.5,Rose International,27,0,0,0,0,1,0,0,0,na,data analyst
